method,case_id,category,fake_record_name,seed_value,draw_count,modulo_n,input_byte_length,compiler,operation_label,expected_observation,actual_observation,expected_outcome,actual_outcome,c_harness_matched,randmax_matched,sequence_matched,reset_matched,modulo_bias_matched,rand_r_matched,strtol_matched,return_value_matched,errno_matched,compiler_matched,newlib_not_tested,portability_not_tested,security_not_tested,thread_safety_not_tested,naive_should_fail,output_char_length,output_byte_length,elapsed_time,failure_reason
naive_rand_modulo_marker,c05_different_seed_changes,different_seed_local_observation,fake_rng_case,54321,5,,,zig cc,different_seed_local_observation,usually_changes,"a=383100999 b=60209456 diff=1
ok=1",success,success,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,34,34,0.007707849144935608,
external_rng_truth_not_tested_marker,c05_different_seed_changes,different_seed_local_observation,fake_rng_case,54321,5,,,zig cc,different_seed_local_observation,usually_changes,"a=383100999 b=60209456 diff=1
ok=1",success,success,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,34,34,0.007707849144935608,
preserve_original_case_baseline,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
compiler_discovery_checker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
c_harness_compile_checker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
rand_srand_policy_observer,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
hidden_state_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
modulo_bias_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
rand_r_policy_observer,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
seed_parsing_policy_observer,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
embedded_newlib_scope_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
crypto_security_scope_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
thread_reentrancy_scope_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
portability_scope_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
toy_project_prng_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
copy_size_timing_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
naive_rand_modulo_marker,c06_srand_resets_global,srand_resets_global_state,test_prng_state,42,3,,,zig cc,srand_resets_global_state,,"reset_match=1
ok=1",success,success,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,18,18,0.007521460065618157,
